player,start_time,end_time,quarter,match_delta,match_time,match_end_delta,match_end_time
Possession won SRBT,0 days 00:35:33.700000,0 days 00:35:53.700000,Q2,0 days 00:02:08.699000,02:08,0 days 00:02:28.699000,02:28
Possession won SRBT,0 days 00:35:53.710000,0 days 00:36:12.704000,Q2,0 days 00:02:28.709000,02:28,0 days 00:02:47.703000,02:47
Possession won SRBT,0 days 00:36:12.714000,0 days 00:36:19.201000,Q2,0 days 00:02:47.713000,02:47,0 days 00:02:54.200000,02:54
Possession won SRBT,0 days 00:41:18.409000,0 days 00:41:38.409000,Q2,0 days 00:07:53.408000,07:53,0 days 00:08:13.408000,08:13
Possession won SRBT,0 days 00:41:38.419000,0 days 00:41:56.301000,Q2,0 days 00:08:13.418000,08:13,0 days 00:08:31.300000,08:31
Possession won SRBT,0 days 00:41:56.311000,0 days 00:42:07.100000,Q2,0 days 00:08:31.310000,08:31,0 days 00:08:42.099000,08:42
Possession won SRBT,0 days 00:45:26.904000,0 days 00:45:46.904000,Q2,0 days 00:12:01.903000,12:01,0 days 00:12:21.903000,12:21
Possession won SRBT,0 days 00:46:08.200000,0 days 00:46:28.200000,Q2,0 days 00:12:43.199000,12:43,0 days 00:13:03.199000,13:03
Possession won SRBT,0 days 00:48:56.701000,0 days 00:49:16.701000,Q2,0 days 00:15:31.700000,15:31,0 days 00:15:51.700000,15:51
Possession won SRBT,0 days 00:51:55.401000,0 days 00:52:15.401000,Q2,0 days 00:18:30.400000,18:30,0 days 00:18:50.400000,18:50
Possession won SRBT,0 days 01:05:57.601000,0 days 01:06:17.601000,Q3,0 days 00:02:12.400000,02:12,0 days 00:02:32.400000,02:32
Possession won SRBT,0 days 01:09:52.800000,0 days 01:10:12.800000,Q3,0 days 00:06:07.599000,06:07,0 days 00:06:27.599000,06:27
Possession won SRBT,0 days 01:13:38.800000,0 days 01:13:58.800000,Q3,0 days 00:09:53.599000,09:53,0 days 00:10:13.599000,10:13
Possession won SRBT,0 days 01:14:56,0 days 01:15:16,Q3,0 days 00:11:10.799000,11:10,0 days 00:11:30.799000,11:30
Possession won SRBT,0 days 01:21:29.600000,0 days 01:21:49.600000,Q3,0 days 00:17:44.399000,17:44,0 days 00:18:04.399000,18:04
Possession won SRBT,0 days 01:27:18.600000,0 days 01:27:38.600000,Q4,0 days 00:01:16.800000,01:16,0 days 00:01:36.800000,01:36
Possession won SRBT,0 days 01:29:14.301000,0 days 01:29:34.301000,Q4,0 days 00:03:12.501000,03:12,0 days 00:03:32.501000,03:32
Possession won SRBT,0 days 01:29:59.600000,0 days 01:30:19.600000,Q4,0 days 00:03:57.800000,03:57,0 days 00:04:17.800000,04:17
Possession won SRBT,0 days 01:30:45.201000,0 days 01:31:05.201000,Q4,0 days 00:04:43.401000,04:43,0 days 00:05:03.401000,05:03
Possession won SRBT,0 days 01:31:14,0 days 01:31:34,Q4,0 days 00:05:12.200000,05:12,0 days 00:05:32.200000,05:32
Possession won SRBT,0 days 01:31:47.402000,0 days 01:32:07.402000,Q4,0 days 00:05:45.602000,05:45,0 days 00:06:05.602000,06:05
Possession won SRBT,0 days 01:34:21,0 days 01:34:41,Q4,0 days 00:08:19.200000,08:19,0 days 00:08:39.200000,08:39
Possession won SRBT,0 days 01:35:25.736000,0 days 01:35:45.736000,Q4,0 days 00:09:23.936000,09:23,0 days 00:09:43.936000,09:43
Possession won SRBT,0 days 01:35:45.746000,0 days 01:35:55.601000,Q4,0 days 00:09:43.946000,09:43,0 days 00:09:53.801000,09:53
Possession won SRBT,0 days 01:36:23.400000,0 days 01:36:43.400000,Q4,0 days 00:10:21.600000,10:21,0 days 00:10:41.600000,10:41
Possession won SRBT,0 days 01:36:43.410000,0 days 01:36:59.401000,Q4,0 days 00:10:41.610000,10:41,0 days 00:10:57.601000,10:57
Possession won SRBT,0 days 01:37:09.902000,0 days 01:37:29.902000,Q4,0 days 00:11:08.102000,11:08,0 days 00:11:28.102000,11:28
Possession won SRBT,0 days 01:39:13.001000,0 days 01:39:33.001000,Q4,0 days 00:13:11.201000,13:11,0 days 00:13:31.201000,13:31
Possession won SRBT,0 days 01:39:33.011000,0 days 01:39:40.805000,Q4,0 days 00:13:31.211000,13:31,0 days 00:13:39.005000,13:39
Possession won SRBT,0 days 01:40:11.801000,0 days 01:40:31.801000,Q4,0 days 00:14:10.001000,14:10,0 days 00:14:30.001000,14:30
Possession won SRBT,0 days 01:40:33.201000,0 days 01:40:53.201000,Q4,0 days 00:14:31.401000,14:31,0 days 00:14:51.401000,14:51
Saves  SRBT,0 days 00:21:47.604000,0 days 00:22:07.604000,Q1,0 days 00:09:44.403000,09:44,0 days 00:10:04.403000,10:04
Saves  SRBT,0 days 00:29:48.201000,0 days 00:30:08.201000,Q1,0 days 00:17:45,17:45,0 days 00:18:05,18:05
Saves  SRBT,0 days 00:48:11.300000,0 days 00:48:31.300000,Q2,0 days 00:14:46.299000,14:46,0 days 00:15:06.299000,15:06
Saves  SRBT,0 days 01:15:49.800000,0 days 01:16:09.800000,Q3,0 days 00:12:04.599000,12:04,0 days 00:12:24.599000,12:24
Saves  SRBT,0 days 01:30:40.200000,0 days 01:31:00.200000,Q4,0 days 00:04:38.400000,04:38,0 days 00:04:58.400000,04:58
Saves JSHC,0 days 00:12:44.500000,0 days 00:13:04.500000,Q1,0 days 00:00:41.299000,00:41,0 days 00:01:01.299000,01:01
Saves JSHC,0 days 00:15:53.900000,0 days 00:16:13.900000,Q1,0 days 00:03:50.699000,03:50,0 days 00:04:10.699000,04:10
Saves JSHC,0 days 00:27:39.900000,0 days 00:27:59.900000,Q1,0 days 00:15:36.699000,15:36,0 days 00:15:56.699000,15:56
Saves JSHC,0 days 00:36:10.900000,0 days 00:36:30.900000,Q2,0 days 00:02:45.899000,02:45,0 days 00:03:05.899000,03:05
Saves JSHC,0 days 00:37:21.600000,0 days 00:37:41.600000,Q2,0 days 00:03:56.599000,03:56,0 days 00:04:16.599000,04:16
Saves JSHC,0 days 01:17:13.500000,0 days 01:17:33.500000,Q3,0 days 00:13:28.299000,13:28,0 days 00:13:48.299000,13:48
Saves JSHC,0 days 01:35:52.103000,0 days 01:36:12.103000,Q4,0 days 00:09:50.303000,09:50,0 days 00:10:10.303000,10:10
Start,0 days 00:12:03.201000,0 days 00:12:23.201000,Q1,0 days 00:00:00,00:00,0 days 00:00:20,00:20
Start,0 days 00:33:25.001000,0 days 00:33:45.001000,Q2,0 days 00:00:00,00:00,0 days 00:00:20,00:20
Start,0 days 01:03:45.201000,0 days 01:04:05.201000,Q3,0 days 00:00:00,00:00,0 days 00:00:20,00:20
Start,0 days 01:26:01.800000,0 days 01:26:21.800000,Q4,0 days 00:00:00,00:00,0 days 00:00:20,00:20
Tackles JSHC,0 days 00:14:01.501000,0 days 00:14:21.501000,Q1,0 days 00:01:58.300000,01:58,0 days 00:02:18.300000,02:18
Tackles JSHC,0 days 00:22:19.801000,0 days 00:22:39.801000,Q1,0 days 00:10:16.600000,10:16,0 days 00:10:36.600000,10:36
Tackles JSHC,0 days 00:25:40.700000,0 days 00:26:00.700000,Q1,0 days 00:13:37.499000,13:37,0 days 00:13:57.499000,13:57
Tackles JSHC,0 days 00:29:45.100000,0 days 00:30:05.100000,Q1,0 days 00:17:41.899000,17:41,0 days 00:18:01.899000,18:01
Tackles JSHC,0 days 00:41:12.300000,0 days 00:41:32.300000,Q2,0 days 00:07:47.299000,07:47,0 days 00:08:07.299000,08:07
Tackles JSHC,0 days 00:41:57,0 days 00:42:17,Q2,0 days 00:08:31.999000,08:31,0 days 00:08:51.999000,08:51
Tackles JSHC,0 days 00:45:56,0 days 00:46:16,Q2,0 days 00:12:30.999000,12:30,0 days 00:12:50.999000,12:50
Tackles JSHC,0 days 00:46:42.301000,0 days 00:47:02.301000,Q2,0 days 00:13:17.300000,13:17,0 days 00:13:37.300000,13:37
Tackles JSHC,0 days 00:49:24.701000,0 days 00:49:44.701000,Q2,0 days 00:15:59.700000,15:59,0 days 00:16:19.700000,16:19
Tackles JSHC,0 days 01:08:51.401000,0 days 01:09:11.401000,Q3,0 days 00:05:06.200000,05:06,0 days 00:05:26.200000,05:26
Tackles JSHC,0 days 01:39:36.700000,0 days 01:39:56.700000,Q4,0 days 00:13:34.900000,13:34,0 days 00:13:54.900000,13:54
Tackles SRBT,0 days 00:41:36.301000,0 days 00:41:56.301000,Q2,0 days 00:08:11.300000,08:11,0 days 00:08:31.300000,08:31
Tackles SRBT,0 days 00:45:26.904000,0 days 00:45:46.904000,Q2,0 days 00:12:01.903000,12:01,0 days 00:12:21.903000,12:21
Tackles SRBT,0 days 01:13:38.800000,0 days 01:13:58.800000,Q3,0 days 00:09:53.599000,09:53,0 days 00:10:13.599000,10:13
Tackles SRBT,0 days 01:14:56,0 days 01:15:16,Q3,0 days 00:11:10.799000,11:10,0 days 00:11:30.799000,11:30
Tackles SRBT,0 days 01:34:21,0 days 01:34:41,Q4,0 days 00:08:19.200000,08:19,0 days 00:08:39.200000,08:39
Tackles SRBT,0 days 01:39:13.001000,0 days 01:39:33.001000,Q4,0 days 00:13:11.201000,13:11,0 days 00:13:31.201000,13:31
Tackles SRBT,0 days 01:40:33.201000,0 days 01:40:53.201000,Q4,0 days 00:14:31.401000,14:31,0 days 00:14:51.401000,14:51
Unforced Errors JSHC,0 days 00:15:29.001000,0 days 00:15:49.001000,Q1,0 days 00:03:25.800000,03:25,0 days 00:03:45.800000,03:45
Unforced Errors JSHC,0 days 00:18:48.701000,0 days 00:19:08.701000,Q1,0 days 00:06:45.500000,06:45,0 days 00:07:05.500000,07:05
Unforced Errors JSHC,0 days 00:27:00.901000,0 days 00:27:20.901000,Q1,0 days 00:14:57.700000,14:57,0 days 00:15:17.700000,15:17
Unforced Errors JSHC,0 days 00:42:36.100000,0 days 00:42:56.100000,Q2,0 days 00:09:11.099000,09:11,0 days 00:09:31.099000,09:31
Unforced Errors JSHC,0 days 00:46:36.500000,0 days 00:46:56.500000,Q2,0 days 00:13:11.499000,13:11,0 days 00:13:31.499000,13:31
Unforced Errors JSHC,0 days 01:31:40.600000,0 days 01:32:00.600000,Q4,0 days 00:05:38.800000,05:38,0 days 00:05:58.800000,05:58
Unforced Errors JSHC,0 days 01:35:10.600000,0 days 01:35:30.600000,Q4,0 days 00:09:08.800000,09:08,0 days 00:09:28.800000,09:28
Unforced Errors JSHC,0 days 01:37:01.705000,0 days 01:37:21.705000,Q4,0 days 00:10:59.905000,10:59,0 days 00:11:19.905000,11:19
Unforced Errors SRBT,0 days 00:13:09.100000,0 days 00:13:29.100000,Q1,0 days 00:01:05.899000,01:05,0 days 00:01:25.899000,01:25
Unforced Errors SRBT,0 days 00:19:30.501000,0 days 00:19:50.501000,Q1,0 days 00:07:27.300000,07:27,0 days 00:07:47.300000,07:47
Unforced Errors SRBT,0 days 00:41:27.400000,0 days 00:41:47.400000,Q2,0 days 00:08:02.399000,08:02,0 days 00:08:22.399000,08:22
Unforced Errors SRBT,0 days 01:22:52.600000,0 days 01:23:12.600000,Q3,0 days 00:19:07.399000,19:07,0 days 00:19:27.399000,19:27
Unforced Errors SRBT,0 days 01:38:34.001000,0 days 01:38:54.001000,Q4,0 days 00:12:32.201000,12:32,0 days 00:12:52.201000,12:52
Vertical line Break JSHC,0 days 00:14:07.700000,0 days 00:14:27.700000,Q1,0 days 00:02:04.499000,02:04,0 days 00:02:24.499000,02:24
Vertical line Break JSHC,0 days 00:14:27.701000,0 days 00:14:28.500000,Q1,0 days 00:02:24.500000,02:24,0 days 00:02:25.299000,02:25
Vertical line Break JSHC,0 days 00:33:27.400000,0 days 00:33:47.400000,Q2,0 days 00:00:02.399000,00:02,0 days 00:00:22.399000,00:22
Vertical line Break JSHC,0 days 01:38:56.901000,0 days 01:39:16.901000,Q4,0 days 00:12:55.101000,12:55,0 days 00:13:15.101000,13:15
Vertical line Break SRBT,0 days 00:12:28.700000,0 days 00:12:48.700000,Q1,0 days 00:00:25.499000,00:25,0 days 00:00:45.499000,00:45
Vertical line Break SRBT,0 days 00:16:44.900000,0 days 00:17:04.900000,Q1,0 days 00:04:41.699000,04:41,0 days 00:05:01.699000,05:01
Vertical line Break SRBT,0 days 00:27:37.100000,0 days 00:27:57.100000,Q1,0 days 00:15:33.899000,15:33,0 days 00:15:53.899000,15:53
Vertical line Break SRBT,0 days 00:35:45,0 days 00:36:05,Q2,0 days 00:02:19.999000,02:19,0 days 00:02:39.999000,02:39
Vertical line Break SRBT,0 days 00:52:33.600000,0 days 00:52:53.600000,Q2,0 days 00:19:08.599000,19:08,0 days 00:19:28.599000,19:28
